"stfips","pcinc_baseline","asmrh_baseline","cases_baseline","treat_start_year","X","year","X_nfd","post","asmrs","pcinc","asmrh","cases","weight","copop","treat","time_til","state","treat_status","lead","lag","lag_inf"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,1,1964,1971,0,35.6398849487305,12406.1785366264,5.00734090805054,0.0123122425630723,1715156,1715155.99684525,1,-7,"AL",0,"7","lead","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,2,1965,1971,0,41.5437545776367,13070.2067381686,4.42536735534668,0.0104194065561726,1715156,1725186.22531509,1,-6,"AL",0,"6","lead","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,3,1966,1971,0,34.2523345947266,13526.6632166725,4.87481880187988,0.00990009709036209,1715156,1735218.67276001,1,-5,"AL",0,"5","lead","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,4,1967,1971,0,34.4650230407715,13918.1898227262,5.36201429367065,0.00997469195199777,1715156,1745250.22097015,1,-4,"AL",0,"4","lead","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,5,1968,1971,0,40.4401054382324,14684.8086823255,4.64375925064087,0.0124006586041361,1715156,1755283.1153183,1,-3,"AL",0,"3","lead","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,6,1969,1971,0,42.490119934082,15638.8762703989,5.29697561264038,0.0150067561086325,1715156,1765316,1,-2,"AL",0,"2","lead","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,7,1970,1971,0,44.2390747070312,16222.9483760879,4.71693897247314,0.0197031418165569,1715156,1787363,1,-1,"AL",0,"1","lead","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,8,1971,1971,1,49.914665222168,16875.429944318,4.99250364303589,0.022737450987761,1715156,1809412,1,0,"AL",1,"lag","0","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,9,1972,1971,1,47.2031326293945,17976.7551171733,5.18702268600464,0.0235559807797221,1715156,1831191,1,1,"AL",1,"lag","1","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,10,1973,1971,1,41.033073425293,18808.2465559014,5.08554601669312,0.0250315253296042,1715156,1853536,1,2,"AL",1,"lag","2","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,11,1974,1971,1,46.2028121948242,18726.0440057895,5.32088899612427,0.0243360186699903,1715156,1879094,1,3,"AL",1,"lag","3","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,12,1975,1971,1,39.2401657104492,19007.4699352005,5.50913858413696,0.0268781372903596,1715156,1907830,1,4,"AL",1,"lag","4","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,13,1976,1971,1,48.3919105529785,19851.2004770093,6.27565431594849,0.0273226834731119,1715156,1938304,1,5,"AL",1,"lag","5","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,14,1977,1971,1,40.5194473266602,20306.1068914712,5.92436504364014,0.0285630721773349,1715156,1962569,1,6,"AL",1,"lag","6","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,15,1978,1971,1,33.8583145141602,21214.7315462861,4.30136585235596,0.0293526663130514,1715156,1990864,1,7,"AL",1,"lag","7","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,16,1979,1971,1,36.3462753295898,21322.0998229841,4.90783596038818,0.0302799180944335,1715156,2009957,1,8,"AL",1,"lag","8","0"
1,12406.1785366264,5.00734090805054,0.0123122425630723,1971,17,1980,1971,1,32.3029365539551,20977.4350374074,6.82115793228149,0.0311779586094851,1715156,2025456,1,9,"AL",1,"lag","9","0"
